#,Local Time,Grid,GPS Fix Validity,Track Attachment,Lat (°),Lon (°),Altitude (km),Vertical Speed (m/min),Speed (km/h),Computed Speed (km/h),Voltage (V),Temperature (°C),Sun Elevation (°),# RX Reports,Average RX Frequency (Hz),Max RX Distance (km),Max SNR (dB)
205,2026-05-05 16:22,FP28hb,1,1,68.06,-75.38,7.08,-2,96,,4.85,-1,29,19,66,5064,-2
204,2026-05-05 16:12,FP27gw,1,1,67.94,-75.46,7.10,-2,100,,4.85,-1,30,18,72,5072,-8
203,2026-05-05 16:02,FP27fs,1,1,67.77,-75.54,7.12,0,104,102,3.00,-7,31,16,67,5082,-3
202,2026-05-05 15:52,FP27ep,1,1,67.65,-75.63,7.12,2,100,,3.10,-2,32,17,64,5091,-7
201,2026-05-05 15:42,FP27dl,1,1,67.48,-75.71,7.10,0,96,,3.00,-3,33,10,62,5101,-1
200,2026-05-05 15:32,FP27dh,1,1,67.31,-75.71,7.10,-4,100,101,3.05,-5,33,14,58,5109,-4
199,2026-05-05 15:22,FP27de,1,1,67.19,-75.71,7.14,4,100,,3.05,-4,34,9,55,5114,-4
198,2026-05-05 15:12,FP27da,1,1,67.02,-75.71,7.10,-4,100,,3.10,-5,35,10,72,15881,-7
197,2026-05-05 15:02,FP26du,1,1,66.85,-75.71,7.14,6,100,93,3.00,-4,36,9,62,5129,-7
196,2026-05-05 14:52,FP26er,1,1,66.73,-75.63,7.08,0,100,,3.10,-1,36,7,56,5131,-9
195,2026-05-05 14:42,FP26fn,1,1,66.56,-75.54,7.08,-2,96,,3.10,-2,37,9,71,5080,-4
194,2026-05-05 14:32,FP26fk,1,1,66.44,-75.54,7.10,2,93,95,3.10,2,38,9,71,5140,-7
193,2026-05-05 14:22,FP26gh,1,1,66.31,-75.46,7.08,2,89,,3.05,3,38,8,74,5142,-6
192,2026-05-05 14:12,FP26hd,1,1,66.15,-75.38,7.06,0,85,,3.05,2,39,11,70,5147,-9
191,2026-05-05 14:02,FP26ia,1,1,66.02,-75.29,7.06,-2,85,84,3.00,7,39,17,66,5149,-6
190,2026-05-05 13:52,FP25iv,1,1,65.90,-75.29,7.08,-500,93,,3.05,0,40,14,64,15970,-6
189,2026-05-05 13:42,FP25ns,1,1,65.77,-74.88,12.08,500,41,,3.10,5,40,9,71,5143,-2
188,2026-05-05 13:32,FP25kp,1,1,65.65,-75.13,7.08,2,78,79,3.10,4,40,6,65,5109,-12
187,2026-05-05 13:22,FP25lm,1,1,65.52,-75.04,7.06,0,81,,3.10,5,41,12,67,5161,-2
186,2026-05-05 13:12,FP25mk,1,1,65.44,-74.96,7.06,4,78,,3.05,7,41,11,68,5161,2
185,2026-05-05 13:02,FP25nh,1,1,65.31,-74.88,7.02,-2,74,,3.10,5,41,4,66,5163,-4
184,2026-05-05 12:52,FP25oe,1,1,65.19,-74.79,7.04,-50,74,66,3.05,6,41,17,68,5165,-4
183,2026-05-05 12:42,FP25ob,1,1,65.06,-74.79,7.54,50,78,,3.10,2,41,14,69,5478,-1
182,2026-05-05 12:32,FP24qx,1,1,64.98,-74.63,7.04,8,74,,3.10,3,41,14,67,3678,-5
181,2026-05-05 12:22,FP24rv,1,1,64.90,-74.54,6.96,-8,67,,3.05,-1,41,12,70,3678,0
180,2026-05-05 12:12,FP24st,1,1,64.81,-74.46,7.04,-112,67,71,3.15,5,41,13,72,3678,1
179,2026-05-05 12:02,FP24sq,1,1,64.69,-74.46,8.16,110,63,,3.15,2,41,20,67,15961,0
178,2026-05-05 11:52,FP24to,1,1,64.60,-74.38,7.06,0,67,,3.00,7,40,21,66,15970,-4
177,2026-05-05 11:42,FP24um,1,1,64.52,-74.29,7.06,0,63,,3.10,1,40,28,71,15979,3
176,2026-05-05 11:32,FP24vj,1,1,64.40,-74.21,7.06,4,63,60,3.05,2,40,19,70,15991,-1
175,2026-05-05 11:22,FP24wh,1,1,64.31,-74.13,7.02,-2,63,,3.05,-6,39,23,68,4320,-1
174,2026-05-05 11:12,FP24xf,1,1,64.23,-74.04,7.04,-2,63,,3.10,-4,39,12,68,3594,5
173,2026-05-05 11:02,FP34ad,1,1,64.15,-73.96,7.06,4,63,,3.00,-1,38,25,68,4524,3
172,2026-05-05 10:52,FP34bb,1,1,64.06,-73.88,7.02,0,59,58,3.05,-8,38,14,70,16126,4
171,2026-05-05 10:42,FP33cx,1,1,63.98,-73.79,7.02,10,59,,3.05,-7,37,20,65,3619,3
170,2026-05-05 10:32,FP33dv,1,1,63.90,-73.71,6.92,-8,56,,3.05,-6,37,14,67,3627,3
169,2026-05-05 10:22,FP33dt,1,1,63.81,-73.71,7.00,-4,56,,3.00,-7,36,16,67,4546,3
168,2026-05-05 10:12,FP33er,1,1,63.73,-73.63,7.04,2,56,,3.00,-5,35,23,64,14703,-1
167,2026-05-05 10:02,FP33fp,1,1,63.65,-73.54,7.02,0,56,57,3.05,-6,34,41,65,15140,1
166,2026-05-05 09:52,FP33fn,1,1,63.56,-73.54,7.02,-2,56,,4.95,-7,34,28,64,14707,-7
165,2026-05-05 09:42,FP33gl,1,1,63.48,-73.46,7.04,8,56,,4.85,-2,33,29,62,14711,-4
164,2026-05-05 09:32,FP33hj,1,1,63.40,-73.38,6.96,-10,56,,3.00,-6,32,43,64,15147,-4
163,2026-05-05 09:22,FP33hh,1,1,63.31,-73.38,7.06,4,59,,4.95,-3,31,34,63,14714,-4
162,2026-05-05 09:12,FP33if,1,1,63.23,-73.29,7.02,-72,56,61,4.95,-6,30,35,65,15082,-3
161,2026-05-05 09:02,FP32kx,1,1,62.98,-73.13,7.74,74,44,,3.00,-5,29,36,66,15024,-2
160,2026-05-05 08:52,FP33jb,1,1,63.06,-73.21,7.00,0,59,,4.95,-4,28,36,64,5413,-6
159,2026-05-05 08:42,FP32jw,1,1,62.94,-73.21,7.00,248,59,,4.45,-1,27,33,68,3705,-6
158,2026-05-05 08:32,FP32lt,1,1,62.81,-73.04,4.52,-248,59,,4.90,-4,26,28,63,3719,-4
157,2026-05-05 08:22,FP32ks,1,1,62.77,-73.13,7.00,74,59,63,4.85,-8,25,34,67,3718,-3
156,2026-05-05 08:12,FP32lo,1,1,62.60,-73.04,6.26,-78,41,,4.05,-4,24,37,68,4029,-2
155,2026-05-05 08:02,FP32lo,1,1,62.60,-73.04,7.04,-530,63,,4.40,-6,23,32,69,4029,-10
154,2026-05-05 07:52,FP32kl,1,1,62.48,-73.13,12.34,380,70,,4.25,-7,22,21,65,4265,-13
153,2026-05-05 07:42,FP32mj,1,1,62.40,-72.96,8.54,146,63,,4.25,-8,20,3,64,3295,-21
152,2026-05-05 07:32,FP32nh,1,1,62.31,-72.88,7.08,5,63,73,3.95,-13,19,1,61,2386,-15
151,2026-05-05 07:12,FP32,1,0,62.5,-73.0,,,,,,,17,1,65,4258,-22
150,2026-05-05 07:02,FP31ox,1,1,61.98,-72.79,6.94,-8,67,,4.10,-6,16,2,65,3782,-12
149,2026-05-05 06:52,FP31pv,1,1,61.90,-72.71,7.02,0,67,,3.25,-14,15,2,66,3790,-7
148,2026-05-05 06:42,FP31ps,1,1,61.77,-72.71,7.02,0,70,60,3.45,-17,14,1,64,3798,-4
147,2026-05-04 18:52,FO65,1,0,55.5,-67.0,,,,,,,9,1,59,1687,-14
146,2026-05-04 18:42,FO65ku,1,1,55.85,-67.13,7.04,2,48,,3.05,-14,11,7,61,4462,-13
145,2026-05-04 18:32,FO65ls,1,1,55.77,-67.04,7.02,0,59,,3.75,-16,12,38,62,8962,-1
144,2026-05-04 18:22,FO65nr,1,1,55.73,-66.88,7.02,4,52,,3.20,-18,14,23,62,2391,-5
143,2026-05-04 18:12,FO65op,1,1,55.65,-66.79,6.98,2,63,65,4.55,-8,15,37,62,8944,-9
142,2026-05-04 18:02,FO65qo,1,1,55.60,-66.63,6.96,0,52,,3.95,-10,16,40,67,4503,-5
141,2026-05-04 17:52,FO65sn,1,1,55.56,-66.46,6.96,0,56,,3.00,-9,18,43,64,2932,-6
140,2026-05-04 17:42,FO65um,1,1,55.52,-66.29,6.96,-2,52,,4.05,-11,19,27,64,2406,-9
139,2026-05-04 17:32,FO65vk,1,1,55.44,-66.21,6.98,2,63,69,3.45,-5,20,28,63,5418,-3
138,2026-05-04 17:22,FO65xj,1,1,55.40,-66.04,6.96,0,67,,4.05,-3,22,22,66,2963,-7
137,2026-05-04 17:12,FO75bi,1,1,55.35,-65.88,6.96,-4,67,,4.85,-2,23,24,66,2059,-3
136,2026-05-04 17:02,FO75dh,1,1,55.31,-65.71,7.00,-2,67,,3.05,-8,24,36,65,5180,-6
135,2026-05-04 16:52,FO75fg,1,1,55.27,-65.54,7.02,-6,67,69,4.95,-7,25,32,65,4436,-2
134,2026-05-04 16:42,FO75hf,1,1,55.23,-65.38,7.08,8,63,,3.00,-3,27,13,65,4589,-9
133,2026-05-04 16:32,FO75je,1,1,55.19,-65.21,7.00,-2,67,,3.00,-6,28,21,66,2440,-1
132,2026-05-04 16:22,FO75ld,1,1,55.15,-65.04,7.02,2,67,,3.00,-8,29,52,65,4611,-4
131,2026-05-04 16:12,FO75nc,1,1,55.10,-64.88,7.00,-2,67,67,3.05,-8,31,44,65,2452,-4
130,2026-05-04 16:02,FO75pb,1,1,55.06,-64.71,7.02,6,63,,4.85,-2,32,51,64,2459,-5
129,2026-05-04 15:52,FO75ra,1,1,55.02,-64.54,6.96,-4,67,,4.95,2,33,46,68,2398,-3
128,2026-05-04 15:42,FO74tx,1,1,54.98,-64.38,7.00,-6,74,,3.05,-1,35,52,66,2472,-2
127,2026-05-04 15:32,FO74vx,1,1,54.98,-64.21,7.06,4,74,89,3.00,5,36,55,66,5111,-3
126,2026-05-04 15:22,FO84aw,1,1,54.94,-63.96,7.02,2,74,,3.00,3,37,62,65,4968,-4
125,2026-05-04 15:12,FO84cv,1,1,54.90,-63.79,7.00,-6,78,,3.05,1,38,53,65,4960,-4
124,2026-05-04 15:02,FO84fu,1,1,54.85,-63.54,7.06,0,81,77,3.00,-4,39,61,65,4947,-6
123,2026-05-04 14:52,FO84ht,1,1,54.81,-63.38,7.06,0,81,,3.10,2,40,50,63,4939,-1
122,2026-05-04 14:42,FO84js,1,1,54.77,-63.21,7.06,10,52,,3.15,0,41,59,66,5274,-3
121,2026-05-04 14:32,FO84mr,1,1,54.73,-62.96,6.96,0,81,,3.15,3,42,50,64,4866,0
120,2026-05-04 14:22,FO84oq,1,1,54.69,-62.79,6.96,0,81,75,3.10,7,44,53,64,4909,-2
119,2026-05-04 14:12,FO84rq,1,1,54.69,-62.54,6.96,-12,81,,3.15,4,44,55,66,5029,0
118,2026-05-04 14:02,FO84tp,1,1,54.65,-62.38,7.08,14,70,,3.05,1,45,60,66,5235,2
117,2026-05-04 13:52,FO84vo,1,1,54.60,-62.21,6.94,0,70,,3.10,1,46,55,66,5227,-4
116,2026-05-04 13:42,FO84xn,1,1,54.56,-62.04,6.94,0,70,83,3.10,11,47,65,67,5492,-1
115,2026-05-04 13:32,FO94bm,1,1,54.52,-61.88,6.94,-6,74,,3.10,3,48,56,67,4998,-2
114,2026-05-04 13:22,FO94el,1,1,54.48,-61.63,7.00,-6,78,,3.15,-4,49,62,65,4985,0
113,2026-05-04 13:12,FO94gj,1,1,54.40,-61.46,7.06,14,81,88,3.15,2,49,58,65,5126,0
112,2026-05-04 13:02,FO94ii,1,1,54.35,-61.29,6.92,-4,81,,3.10,10,50,54,66,4978,-1
111,2026-05-04 12:52,FO94kg,1,1,54.27,-61.13,6.96,-4,89,,3.15,9,50,39,64,4217,2
110,2026-05-04 12:42,FO94ne,1,1,54.19,-60.88,7.00,0,89,89,3.15,8,51,45,67,4297,1
109,2026-05-04 12:32,FO94pd,1,1,54.15,-60.71,7.00,2,85,,3.15,1,51,47,67,4806,-1
108,2026-05-04 12:22,FO94rb,1,1,54.06,-60.54,6.98,2,96,,3.10,3,52,42,65,4536,-1
107,2026-05-04 12:12,FO93ux,1,1,53.98,-60.29,6.96,4,104,108,3.15,5,52,50,64,4735,-1
106,2026-05-04 12:02,FO93xv,1,1,53.90,-60.04,6.92,-4,107,,3.15,7,52,48,65,4919,-2
105,2026-05-04 11:52,GO03bs,1,1,53.77,-59.88,6.96,4,111,,3.10,8,52,46,64,4953,0
104,2026-05-04 11:42,GO03eq,1,1,53.69,-59.63,6.92,-4,115,129,3.15,16,52,48,64,4705,1
103,2026-05-04 11:32,GO03hn,1,1,53.56,-59.38,6.96,2,122,,3.20,10,52,39,63,4894,-1
102,2026-05-04 11:22,GO03kk,1,1,53.44,-59.13,6.94,-4,130,139,3.20,15,52,32,65,3895,-1
101,2026-05-04 11:12,GO03ng,1,1,53.27,-58.88,6.98,2,133,,3.20,10,52,39,65,4122,-4
100,2026-05-04 11:02,GO03qd,1,1,53.15,-58.63,6.96,-2,137,139,3.15,7,52,40,65,4183,-1
99,2026-05-04 10:52,GO03ta,1,1,53.02,-58.38,6.98,8,137,,3.10,4,51,32,64,4173,-4
98,2026-05-04 10:42,GO02wu,1,1,52.85,-58.13,6.90,0,141,140,3.15,6,51,38,64,4609,-4
97,2026-05-04 10:32,GO12br,1,1,52.73,-57.88,6.90,-10,144,,3.20,5,50,32,63,4156,1
96,2026-05-04 10:22,GO12en,1,1,52.56,-57.63,7.00,10,148,153,3.15,7,50,40,65,4651,-1
95,2026-05-04 10:12,GO12ik,1,1,52.44,-57.29,6.90,-2,152,,3.15,11,49,33,63,17667,-2
94,2026-05-04 10:02,GO12lg,1,1,52.27,-57.04,6.92,6,0,163,3.10,14,48,42,69,17692,1
93,2026-05-04 09:52,GO12oc,1,1,52.10,-56.79,6.86,-6,0,,3.10,16,48,31,65,17717,-1
92,2026-05-04 09:42,GO11sw,1,1,51.94,-56.46,6.92,26,4,162,3.15,8,47,35,65,4291,-1
91,2026-05-04 09:32,GO11vs,1,1,51.77,-56.21,6.66,-26,7,,3.10,6,46,29,67,17771,-2
90,2026-05-04 09:22,GO21an,1,1,51.56,-55.96,6.92,8,4,162,3.15,9,45,36,66,17799,1
89,2026-05-04 09:12,GO21dj,1,1,51.40,-55.71,6.84,-6,0,,3.10,12,44,47,68,17824,-2
88,2026-05-04 09:02,GO21ge,1,1,51.19,-55.46,6.90,4,7,141,3.10,6,43,53,71,4841,-2
87,2026-05-04 08:52,GO21ja,1,1,51.02,-55.21,6.86,-8,7,,3.10,9,42,59,67,17878,1
86,2026-05-04 08:42,GO20lu,1,1,50.85,-55.04,6.94,2,7,176,3.05,3,41,53,68,17899,2
85,2026-05-04 08:32,GO20oo,1,1,50.60,-54.79,6.92,0,7,,3.15,-1,39,57,67,17930,5
84,2026-05-04 08:22,GO20qj,1,1,50.40,-54.63,6.92,-1,7,156,3.00,2,38,49,62,17953,4
83,2026-05-04 08:12,GN29ux,0,0,49.98,-54.29,0.00,,0,,3.05,-2,37,73,67,4570,8
82,2026-05-04 08:02,GN29ux,1,1,49.98,-54.29,6.94,-8,7,181,3.10,-1,36,77,67,18001,6
81,2026-05-04 07:52,GN29wr,1,1,49.73,-54.13,7.02,6,7,,4.95,-2,34,67,65,18028,0
80,2026-05-04 07:42,GN39al,1,1,49.48,-53.96,6.96,-4,11,157,4.95,3,33,77,67,18054,3
79,2026-05-04 07:32,GN39bf,1,1,49.23,-53.88,7.00,10,11,,4.95,-3,31,72,68,16101,4
78,2026-05-04 07:22,GN39ca,1,1,49.02,-53.79,6.90,2,15,188,3.05,0,30,58,66,4415,3
77,2026-05-04 07:12,GN38es,1,1,48.77,-53.63,6.88,-6,19,,4.90,0,28,68,66,18121,3
76,2026-05-04 07:02,GN38fl,1,1,48.48,-53.54,6.94,-8,15,167,4.50,-1,27,75,67,18146,5
75,2026-05-04 06:52,GN38gf,1,1,48.23,-53.46,7.02,18,11,,3.00,-4,25,67,66,18167,3
74,2026-05-04 06:42,GN37gx,1,1,47.98,-53.46,6.84,-10,19,181,4.00,3,24,77,67,18183,3
73,2026-05-04 06:32,GN37hr,1,1,47.73,-53.38,6.94,0,19,,4.40,-2,22,68,67,18316,2
72,2026-05-04 06:22,GN37hk,1,1,47.44,-53.38,6.94,-6,19,180,4.70,-2,20,101,66,18322,3
71,2026-05-04 06:12,GN37he,1,1,47.19,-53.38,7.00,10,22,,4.95,-6,19,68,67,18327,7
70,2026-05-04 06:02,GN36hv,1,1,46.90,-53.38,6.90,-8,26,138,4.50,-2,17,41,67,18255,1
69,2026-05-04 05:52,GN36hp,1,1,46.65,-53.38,6.98,4,33,,4.20,-12,15,45,67,18270,0
68,2026-05-04 05:42,GN36hl,1,1,46.48,-53.38,6.94,0,33,174,3.05,-6,13,38,63,18279,-1
67,2026-05-04 05:32,GN36,1,0,46.5,-53.0,,,,,,,12,16,65,18303,-10
66,2026-05-03 18:42,FM36sm,1,1,36.52,-72.46,7.18,-4,152,,3.25,-8,10,44,71,7003,-7
65,2026-05-03 18:32,FM36om,1,1,36.52,-72.79,7.22,-2,152,149,3.80,-10,13,34,70,7026,-2
64,2026-05-03 18:22,FM36,1,0,36.5,-73.0,,,,,,,15,84,71,7078,0
63,2026-05-03 18:12,FM36hm,1,1,36.52,-73.38,7.26,10,148,,4.30,-11,17,80,75,7312,3
62,2026-05-03 18:02,FM36en,1,1,36.56,-73.63,7.16,-6,144,134,4.05,-9,19,81,71,7185,2
61,2026-05-03 17:52,FM36bn,1,1,36.56,-73.88,7.22,-2,144,,3.00,-8,21,56,70,16714,-3
60,2026-05-03 17:42,FM26wo,1,1,36.60,-74.13,7.24,2,144,156,4.65,-12,24,66,72,7109,-3
59,2026-05-03 17:32,FM26sp,1,1,36.65,-74.46,7.22,-2,144,,4.65,-7,26,47,73,7112,1
58,2026-05-03 17:22,FM26pp,1,1,36.65,-74.71,7.24,4,144,134,4.95,-9,28,61,68,16643,1
57,2026-05-03 17:12,FM26mq,1,1,36.69,-74.96,7.20,704,144,,3.05,-10,30,43,68,7275,-4
56,2026-05-03 17:02,FM26jq,1,1,36.69,-75.21,0.16,-706,141,158,4.95,-5,32,49,73,7159,-1
55,2026-05-03 16:52,FM26hr,1,1,36.73,-75.38,7.22,2,141,,3.00,-1,35,33,66,7167,1
54,2026-05-03 16:42,FM26cs,1,1,36.77,-75.79,7.20,0,141,136,4.95,-5,37,40,72,6804,-2
53,2026-05-03 16:32,FM16xt,1,1,36.81,-76.04,7.20,4,137,,3.05,-3,39,44,69,6819,-4
52,2026-05-03 16:22,FM16uu,1,1,36.85,-76.29,7.16,42,133,139,3.05,-2,41,31,70,6665,-2
51,2026-05-03 16:12,FM16rw,1,1,36.94,-76.54,6.74,-54,133,,3.10,0,43,29,68,3930,0
50,2026-05-03 16:02,FM16ox,1,1,36.98,-76.79,7.28,-2,126,109,3.00,2,45,42,71,3319,2
49,2026-05-03 15:52,FM17ma,1,1,37.02,-76.96,7.30,4,119,,3.05,-5,47,44,72,6866,3
48,2026-05-03 15:42,FM17jc,1,1,37.10,-77.21,7.26,4,119,,3.15,-2,49,42,67,3194,2
47,2026-05-03 15:32,FM17hd,1,1,37.15,-77.38,7.22,-2,115,123,3.10,3,51,38,72,3178,3
46,2026-05-03 15:22,FM17ee,1,1,37.19,-77.63,7.24,-8,111,,3.10,2,53,47,74,2998,2
45,2026-05-03 15:12,FM17cg,1,1,37.27,-77.79,7.32,6,107,,3.15,-6,55,48,71,3549,2
44,2026-05-03 15:02,FM07xh,1,1,37.31,-78.04,7.26,-4,111,112,3.15,-2,57,47,69,3216,9
43,2026-05-03 14:52,FM07vj,1,1,37.40,-78.21,7.30,4,115,,3.15,-6,59,37,67,3101,3
42,2026-05-03 14:42,FM07tk,1,1,37.44,-78.38,7.26,-10,107,,3.25,3,60,41,69,3414,2
41,2026-05-03 14:32,FM07qm,1,1,37.52,-78.63,7.36,-2,115,95,3.20,-6,62,33,70,1816,7
40,2026-05-03 14:22,FM07on,1,1,37.56,-78.79,7.38,10,107,,3.20,-11,63,49,69,7130,7
39,2026-05-03 14:12,FM07mp,1,1,37.65,-78.96,7.28,-6,104,,3.25,-2,64,46,62,3547,7
38,2026-05-03 14:02,FM07kq,1,1,37.69,-79.13,7.34,6,107,109,3.20,-8,66,53,68,3693,7
37,2026-05-03 13:52,FM07hr,1,1,37.73,-79.38,7.28,2,107,,3.25,-1,66,49,65,3406,6
36,2026-05-03 13:42,FM07ft,1,1,37.81,-79.54,7.26,0,104,,3.20,-9,67,39,64,3304,6
35,2026-05-03 13:32,FM07du,1,1,37.85,-79.71,7.26,-2,104,108,3.20,-5,68,40,62,3289,4
34,2026-05-03 13:22,FM07bw,1,1,37.94,-79.88,7.28,0,100,,3.20,-2,68,47,62,3478,1
33,2026-05-03 13:12,EM97xx,1,1,37.98,-80.04,7.28,-2,100,,3.20,-9,68,37,64,3463,-1
32,2026-05-03 13:02,EM98ua,1,1,38.02,-80.29,7.30,2,96,98,3.20,-6,67,42,60,3671,0
31,2026-05-03 12:52,EM98sc,1,1,38.10,-80.46,7.28,2,93,,3.25,-5,67,36,63,3654,-7
30,2026-05-03 12:42,EM98qd,1,1,38.15,-80.63,7.26,-2,96,,3.20,-5,66,43,62,3555,-2
29,2026-05-03 12:32,EM98of,1,1,38.23,-80.79,7.28,0,96,86,3.20,-5,65,36,63,3280,-7
28,2026-05-03 12:22,EM98mh,1,1,38.31,-80.96,7.28,4,93,,3.20,-3,64,30,61,3521,-8
27,2026-05-03 12:12,EM98li,1,1,38.35,-81.04,7.24,0,74,,3.15,-5,63,38,66,3258,-9
26,2026-05-03 12:02,EM98jk,1,1,38.44,-81.21,7.24,-6,37,98,3.15,-4,61,49,65,3613,-8
25,2026-05-03 11:52,EM98hl,1,1,38.48,-81.38,7.30,2,96,,3.20,-6,60,31,73,3568,-9
24,2026-05-03 11:42,EM98fn,1,1,38.56,-81.54,7.28,-4,96,,3.20,-5,58,34,67,3552,-9
23,2026-05-03 11:32,EM98dp,1,1,38.65,-81.71,7.32,0,96,94,3.15,-10,56,32,71,3566,-6
22,2026-05-03 11:22,EM98bq,1,1,38.69,-81.88,7.32,2,93,,3.15,-8,55,39,64,3550,4
21,2026-05-03 11:12,EM88xs,1,1,38.77,-82.04,7.30,0,93,,3.15,-8,53,35,70,3534,-2
20,2026-05-03 11:02,EM88vt,1,1,38.81,-82.21,7.30,0,93,98,3.10,-9,51,40,66,3519,-3
19,2026-05-03 10:52,EM88tv,1,1,38.90,-82.38,7.30,0,89,,3.05,-9,49,32,67,3142,-3
18,2026-05-03 10:42,EM88rx,1,1,38.98,-82.54,7.30,6,93,,3.05,-12,47,40,67,3487,-3
17,2026-05-03 10:32,EM89pa,1,1,39.02,-82.71,7.24,6,93,97,3.05,-4,45,38,70,3472,2
16,2026-05-03 10:22,EM89nc,1,1,39.10,-82.88,7.18,-86,93,,3.10,-7,43,61,66,16366,3
15,2026-05-03 10:12,EM89ke,1,1,39.19,-83.13,8.04,124,78,,3.00,-4,41,61,66,16345,4
14,2026-05-03 10:02,EM89jf,1,1,39.23,-83.21,6.80,-346,81,51,3.00,-11,39,59,66,16338,5
13,2026-05-03 09:52,EM89hh,1,1,39.31,-83.38,10.26,450,67,,3.00,-11,37,3,61,2558,-17
12,2026-05-03 09:42,EM89hh,1,1,39.31,-83.38,5.76,-46,59,,4.95,-7,35,48,68,3056,5
11,2026-05-03 09:32,EM89fi,1,1,39.35,-83.54,6.22,91,63,,3.00,-3,33,50,68,16310,7
10,2026-05-03 09:22,EM89ck,1,1,39.44,-83.79,0.00,,41,,4.95,1,31,36,70,16290,10
9,2026-05-03 09:12,EM89dl,1,1,39.48,-83.71,4.40,152,63,,3.00,0,29,45,67,16297,12
8,2026-05-03 09:02,EM89dl,1,1,39.48,-83.71,2.88,-312,74,37,4.75,1,27,48,68,16297,3
7,2026-05-03 08:52,EM89bo,1,1,39.60,-83.88,6.00,480,48,,4.85,3,25,41,73,16284,18
6,2026-05-03 08:42,EM89bq,1,1,39.69,-83.88,1.20,-130,52,,4.80,2,23,44,72,16285,27
5,2026-05-03 08:32,EM89aq,1,1,39.69,-83.96,2.50,48,19,,3.50,2,21,39,71,16278,23
4,2026-05-03 08:22,EM89ar,1,1,39.73,-83.96,2.02,78,19,,4.15,4,19,33,69,16278,17
3,2026-05-03 08:12,EM89ar,1,1,39.73,-83.96,1.24,6,30,,3.45,7,17,13,68,16278,6
2,2026-05-03 08:02,EM79xs,1,1,39.77,-84.04,1.18,16,33,,3.25,9,15,10,67,16271,18
1,2026-05-03 07:52,EM79xs,1,1,39.77,-84.04,1.02,,37,,3.15,10,13,6,67,16271,13
